client_id,visit_visitor_id,start_time,step_1,step_2,step_3,time_completion,navigations_bt_start_last,completion,start_step,1st_step,2nd_step,3rd_step,last_step,variation,clnt_tenure_yr,clnt_tenure_mnth,clnt_age,gendr,num_accts,bal,calls_6_mnth,logons_6_mnth,date,initial_date,total_time_visit,final_date
2581,182925466_27021409208_83502_770616558_80928163524,0.0,0.0,0.0,0.0,0.0,0.36549697511345214,0,0.30217098715483126,0.0,0.0,0.0,start,Control,4,58,22,M,2,0.5880249257548589,0.30217098715483126,0.4149673432395061,2017-04-09,2017-04-09 06:11:41,0.0,2017-04-09 06:11:41
3647,492965200_82386590930_211259_742136411_92170694666,0.0,0.0,0.0,0.0,0.0,0.36549697511345214,0,0.30217098715483126,0.0,0.0,0.0,start,Control,15,190,63,F,2,0.5987126228745995,0.4149673432395061,0.44577575880451276,2017-04-10,2017-04-10 12:28:09,0.0,2017-04-10 12:28:09
5354,192604721_14077630095_819213_233679354_36495397627,0.1419267254865291,0.10046936582054998,0.16823450124808217,0.28757122759566833,0.0,0.4281283392115902,1,0.30217098715483126,0.30217098715483126,0.30217098715483126,0.30217098715483126,confirm,Control,4,58,50,Other,2,0.5936890927822425,0.36549697511345214,0.4281283392115902,2017-04-12,2017-04-12 20:30:01,0.34084826533286494,2017-04-12 20:31:31
5354,216367358_55024634523_791141_233679354_36495397627,0.08023385219035462,0.0,0.0,0.0,0.0,0.39608806607809666,0,0.30217098715483126,0.30217098715483126,0.0,0.0,step_1,Control,4,58,50,Other,2,0.5936890927822425,0.36549697511345214,0.4281283392115902,2017-04-13,2017-04-13 20:22:33,0.08023385219035462,2017-04-13 20:22:39
7020,141218980_10356302866_412831_131463516_45910398094,0.16823450124808217,0.0,0.0,0.0,0.0,0.39608806607809666,0,0.30217098715483126,0.30217098715483126,0.0,0.0,step_1,Control,16,195,41,F,2,0.5938157359277306,0.36549697511345214,0.4281283392115902,2017-04-09,2017-04-09 15:17:53,0.16823450124808217,2017-04-09 15:18:10
8124,994996192_45319706118_538245_615009708_53442935870,0.0,0.0,0.0,0.0,0.0,0.36549697511345214,0,0.30217098715483126,0.0,0.0,0.0,start,Control,14,170,42,M,2,0.5935694399740992,0.4281283392115902,0.4521179616384241,2017-04-12,2017-04-12 11:44:38,0.0,2017-04-12 11:44:38
9767,144835432_25378933328_142085_764845651_97641705844,0.272425870667171,0.15570603792305035,0.353540819409375,0.36200465368469187,0.0,0.4281283392115902,1,0.30217098715483126,0.30217098715483126,0.30217098715483126,0.30217098715483126,confirm,Control,6,75,34,M,2,0.589112566205052,0.30217098715483126,0.4149673432395061,2017-05-15,2017-05-15 17:13:49,0.423982949871048,2017-05-15 17:18:28
11122,117291376_25284975669_155364_794370601_86104737583,0.2933444393387472,0.10046936582054998,0.33347705207871436,0.31013984025342184,0.0,0.4281283392115902,1,0.30217098715483126,0.30217098715483126,0.30217098715483126,0.30217098715483126,confirm,Control,16,194,40,M,2,0.5894651468954741,0.36549697511345214,0.4281283392115902,2017-04-20,2017-04-20 21:27:12,0.40679285312723323,2017-04-20 21:30:43
16095,645543282_32237350832_786360_949438903_33910261122,0.09066382374466597,0.14898500000186396,0.27923004834473375,0.0,0.0,0.4281283392115902,0,0.30217098715483126,0.30217098715483126,0.30217098715483126,0.30217098715483126,step_3,Control,6,76,30,Other,2,0.5952463673188276,0.30217098715483126,0.4149673432395061,2017-04-08,2017-04-08 08:22:27,0.315984563954951,2017-04-08 08:23:36
16135,603799110_74928570629_78901_973833159_30067220181,0.04448281931718125,0.0,0.0,0.0,0.0,0.39608806607809666,0,0.30217098715483126,0.30217098715483126,0.0,0.0,step_1,Control,14,170,63,F,2,0.5993297513720155,0.39608806607809666,0.43800014525847875,2017-04-12,2017-04-12 18:44:51,0.04448281931718125,2017-04-12 18:44:54
